family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,oracle_K,gate_K,cv_K
bump,500,0.977765693039191,0.975074142706199,0.977765693039191,0.977765693039191,2,1,3.0
bump,200,0.785841084108411,0.760998599859986,0.785841084108411,0.785841084108411,2,1,2.0
bump,1000,0.95574450883709,0.926971935835041,0.95574450883709,0.95574450883709,2,1,2.0
bump,500,0.960313285376115,0.960313285376115,0.960312285295109,0.960312285295109,1,1,2.0
bump,500,0.874154839678606,0.776784060474081,0.823829691371931,0.874154839678606,4,5,2.0
bump,300,0.909573638294553,0.816311765247061,0.816311765247061,0.909573638294553,4,5,5.0
bump,200,0.703258636844128,0.665300767986418,0.665300767986418,0.677528789480428,3,5,5.0
bump,200,0.811464261748826,0.658460764577464,0.699755788033614,0.699755788033614,1,5,4.0
bump,200,0.622203461798838,0.565376403526692,0.622203461798838,0.622203461798838,4,5,4.0
bump,1000,0.985741264776729,0.985741264776729,0.985741264776729,0.970977817740395,5,5,5.0
bump,1000,0.997316175257206,0.907983365987284,0.997316175257206,0.997316175257206,4,5,4.0
bump,500,0.821914855739226,0.821914855739226,0.820975720503753,0.820975720503753,1,1,4.0
bump,200,0.751162779069477,0.607581689542239,0.71580739518488,0.733783344583615,3,5,2.0
bump,200,0.759505368773103,0.523050819317982,0.523050819317982,0.759505368773103,4,5,5.0
bump,200,0.564250334397469,0.510986845198733,0.564250334397469,0.531803525354681,2,5,2.0
bump,500,0.955552288248497,0.900512000352069,0.932978863857316,0.955552288248497,4,1,5.0
bump,200,0.834391604250688,0.834391604250688,0.834391604250688,0.608398750080021,1,1,1.0
bump,200,0.585656315719406,0.585656315719406,0.545602323833204,0.57042267619182,1,1,5.0
bump,300,0.941623582684695,0.770334087365603,0.941074831444247,0.732496788102913,3,1,5.0
bump,200,0.663389378121108,0.663389378121108,0.642963766113627,0.642963766113627,5,5,4.0
bump,500,0.932179676804163,0.901984197225664,0.901984197225664,0.932179676804163,2,1,1.0
bump,500,0.891892256862233,0.876477301940261,0.876477301940261,0.887384954251779,5,1,1.0
bump,1000,0.977578585265113,0.977578585265113,0.977578585265113,0.956053186635502,5,5,5.0
bump,1000,0.970894735367572,0.970141801677766,0.970894735367572,0.970806184362193,2,5,2.0
bump,200,0.94484482291132,0.922435468362764,0.71046333510427,0.904494477578639,3,5,1.0
bump,200,0.712375809395235,0.711598789969749,0.711598789969749,0.712375809395235,2,1,1.0
bump,200,0.48000250400641,0.48000250400641,0.4789453125,0.4789453125,1,1,3.0
bump,200,0.791827523163335,0.791827523163335,0.778767142468515,0.769553815749468,1,1,2.0
bump,200,0.545819045819046,0.525280025280025,0.539273039273039,0.539273039273039,2,5,4.0
bump,200,0.853426020854692,0.779618414143182,0.72622340026506,0.853426020854692,4,5,3.0
bump,1000,0.985333765340245,0.985333765340245,0.982356217699483,0.976097117553881,5,5,3.0
bump,1000,0.966169406498186,0.965314803091174,0.964004644561992,0.964004644561992,5,1,4.0
bump,500,0.976388409710243,0.976388409710243,0.961761544038601,0.955122878071952,5,5,3.0
bump,500,0.934002736010944,0.934002736010944,,,1,1,3.0
bump,1000,0.978565949731537,0.978126928219483,0.978565949731537,0.978565949731537,2,1,2.0
bump,1000,0.960499812382739,0.956738461538462,0.956738461538462,0.960499812382739,2,1,1.0
bump,500,0.81680177531362,0.81680177531362,0.800093205965182,0.800093205965182,1,1,3.0
bump,500,0.66441885520673,0.635296341979455,0.66441885520673,0.654692343936161,5,1,5.0
bump,1000,0.912429889904146,0.912429889904146,0.912429889904146,0.912300871325471,1,1,1.0
bump,1000,0.955871168910183,0.955871168910183,,,1,1,3.0
bump,1000,0.96831211929131,0.964887430892892,0.965974418979583,0.965974418979583,2,1,4.0
bump,1000,0.980773480773481,0.980773480773481,0.980773480773481,,1,1,1.0
bump,500,0.938087034124516,0.938087034124516,0.931101653200149,0.931101653200149,1,1,2.0
bump,500,0.961855178133557,0.961855178133557,0.958624253295703,0.958624253295703,1,1,4.0
bump,1000,0.503373632838294,0.503373632838294,,,1,1,3.0
bump,1000,0.935625435625436,0.935625435625436,,,1,1,2.0
bump,1000,0.905445225175665,0.905445225175665,0.905404215948588,0.905404215948588,1,1,5.0
bump,300,0.847293702842395,0.811392606548531,0.811392606548531,0.84260659858586,2,1,1.0
bump,200,0.904538267599676,0.904538267599676,0.904538267599676,0.814382464979663,5,5,5.0
bump,200,0.947210599581585,0.898846858486905,0.753036609317935,0.753036609317935,1,2,4.0
bump,1000,0.978040148642378,0.956089797436759,0.969419010704171,0.94581913310613,2,5,1.0
bump,300,0.660806165513486,0.606255805945288,0.606255805945288,0.660806165513486,4,5,5.0
bump,300,0.978264614102764,0.972553367062038,0.972553367062038,0.965093094428355,3,5,5.0
bump,300,0.97748439673544,0.97748439673544,0.81422339694645,0.81422339694645,1,1,4.0
bump,500,0.918827804979519,0.918827804979519,0.918827804979519,0.821720590117768,1,1,1.0
bump,300,0.526588328719336,0.526588328719336,,,1,1,5.0
bump,1000,0.977739965969372,0.966648984085677,0.969487538784906,0.96314082674407,3,5,2.0
bump,500,0.875467619710646,0.875467619710646,0.777958657416299,0.777958657416299,5,5,4.0
